t,z0,z1,z2,z3
0.0,0.0,0.0,0.0,0.0
0.01,0.013854062666587216,0.010395104702059135,0.005682661783395819,0.010146355816596717
0.02,0.022065311330948204,0.012142007603245034,0.019238249150295643,0.024892726444204614
0.03,0.024124187803687504,0.008888768459397692,0.034082467070623616,0.03867955786709478
0.04,0.022769327310306446,0.006057313016348202,0.043594958767097444,0.046301976654677314
0.05,0.022301566166385914,0.0075928384777856905,0.04391714994925951,0.044561006193010406
0.06,0.025817415811513034,0.013848046184905372,0.03550567655419966,0.03346476920749822
0.07,0.03310175128061575,0.022352978904900317,0.022060866605843252,0.01599688289402797
0.08,0.041247560826470506,0.030347615504583272,0.008107232366936012,-0.003249173753096991
0.09,0.04663299563429105,0.036380958511925174,-0.0026151782202654588,-0.019341258036281922
0.1,0.04712399857077634,0.04036726868601154,-0.007995031029981718,-0.02840618563280721
0.11,0.043840102101266556,0.04256127177156872,-0.008329512306489083,-0.029786245948916646
0.12,0.039797139927077396,0.04241677258182247,-0.005358706056062455,-0.025500401673750353
0.13,0.038036935568942,0.039082450364426105,-0.0015883166531031202,-0.019046412556815856
0.14,0.03990314176360009,0.03277027371702389,0.0006519606295366573,-0.013416628678929801
0.15,0.044307748901902144,0.026012779804868005,0.00026991181159225305,-0.009413143865606079
0.16,0.048895758578051715,0.022770108791674223,-0.002061203380209991,-0.005718136092122845
0.17,0.05186435689003302,0.026162720504028764,-0.004564578592497227,-0.0008036821976652535
0.18,0.052998993401520034,0.03641242242914956,-0.0055068284134399004,0.0052027700128622015
0.19,0.0536446636621319,0.05025726027893311,-0.0043487358266050095,0.009849366800906673
0.2,0.05551253705464709,0.06246842461339544,-0.002309876445691394,0.010199212294906036
0.21,0.059189577622521236,0.06923644763483167,-0.0011055495858492985,0.005561033720383699
0.22,0.06367507677431809,0.06969189545529772,-0.0014539041277138599,-0.0011170263953749011
0.23,0.06685858683566509,0.06566020193166909,-0.002035564101914437,-0.004123018007643013
0.24,0.06683722169393308,0.05997528702523498,0.00017158132639944347,0.0016346325606175095
0.25,0.06328879777179906,0.05426695889412861,0.007713438708781049,0.016735868164924745
0.26,0.057574248732599906,0.04856343661384477,0.020786349779050157,0.03689250077545879
0.27,0.05204294221353728,0.042408832237043684,0.036610884158392004,0.05515272731341776
0.28,0.048871267832247225,0.03628357029271073,0.05046494682497917,0.06554783201547687
0.29,0.048611206754073086,0.03195321601532794,0.05867619548934017,0.06729473491666281
0.3,0.05016875885328781,0.031167710926136585,0.06073507196207951,0.06404149577281547
0.31,0.051489228835190984,0.0341075966487312,0.05938021146869845,0.061210040329765965
0.32,0.05066956801411478,0.03873793295154683,0.05891245032477792,0.06274556579120345
0.33,0.04711816673280968,0.041717874938467625,0.06242829996990501,0.0690007734983231
0.34,0.041931152799181554,0.040832594901197006,0.06971263543900783,0.07750570621831815
0.35000000000000003,0.037195415866750264,0.036377750372639475,0.07785844498486254,0.08550034281800106
0.36,0.035042263350251665,0.030983153454582843,0.08324387979268305,0.09153368582534294
0.37,0.03682363595109399,0.02819787871542201,0.08373488272916835,0.0955199959994293
0.38,0.042230143490115835,0.030156909672557852,0.08045098625965856,0.09771399908498649
0.39,0.04992025923169277,0.03693170065516066,0.0764080240854694,0.09756949989524023
0.4,0.05811696903526259,0.047161522524843305,0.074647819727334,0.09423517767784387
0.41000000000000003,0.06532563294618171,0.05922378945705928,0.0765140259219921,0.08792300103044165
0.42,0.0709193292965639,0.07191395841601932,0.08091863306029415,0.08116550711828577
0.43,0.07528942318516686,0.08429382031998799,0.08550664273644372,0.07792283610509199
0.44,0.07945201821339658,0.09503633543679522,0.08847524104842501,0.08131544781744646
0.45,0.08458243134537632,0.10233185450322306,0.08960987755991204,0.09156514974256733
0.46,0.09156944346452289,0.10461128501596965,0.0902555478205239,0.10540998759235087
0.47000000000000003,0.10041196612396089,0.10242236307366569,0.09212342121303907,0.11762115192681313
0.48,0.11027700984996791,0.09841657185066553,0.09580046178091321,0.1243891749482494
0.49,0.11963968907607836,0.09637635285479056,0.10028596093271004,0.12484462276871554
0.5,0.12662650082611035,0.09919283655958143,0.1034694709940571,0.12081292924508685
0.51,0.12964664783572882,0.1066863185130043,0.10344810585232506,0.11512801433865266
0.52,0.12809303269614528,0.1154629635047676,0.09989968193019103,0.10941968620754633
0.53,0.12250841090225567,0.12108051814434163,0.09418513289099191,0.10371616392726253
0.54,0.1146161427906392,0.1206047407683649,0.08865382637192928,0.09756155955046145
0.55,0.10703217301415649,0.11438995842219311,0.08548215199063923,0.0914362976061285
0.56,0.10237969341628123,0.10641133720995448,0.08522209091246509,0.0871059433287457
0.5700000000000001,0.10231289417846914,0.1012571720944667,0.08677964301167983,0.08632043823955436
0.58,0.10693757290251713,0.1017153049577076,0.08810011299358297,0.08926032396214889
0.59,0.11467446021210706,0.10731884417860403,0.08728045217250678,0.09389066026496459
0.6,0.12267208196074386,0.11452047212468681,0.08372905089120168,0.09687060225188539
0.61,0.12827324107313112,0.1192016943920821,0.07854203695757356,0.09598532221461477
0.62,0.1302150792918692,0.11903542073955957,0.07380630002514227,0.09153047768605724
0.63,0.12915665742775798,0.11447030545328708,0.07165314750864367,0.0861358807680006
0.64,0.12734177574592465,0.10821876479534821,0.07343452010948599,0.08335060602883977
0.65,0.12724085336812493,0.10341924782996641,0.07884102764850778,0.08530963698597557
0.66,0.12993243768281354,0.10147872157364309,0.0865311433900847,0.09208442796857834
0.67,0.13464311865050801,0.10156325867565981,0.0947278531936546,0.10231424983826107
0.68,0.13934352910287567,0.10131178521755173,0.10193651710457383,0.11437651677047724
0.6900000000000001,0.1422770355570909,0.09859147358982621,0.10753021345495599,0.12706668572943727
0.7000000000000001,0.14349730086276682,0.09331884538721112,0.11190030734355891,0.13944654763340583
0.71,0.14482370658612886,0.08761734454323371,0.11606290237178862,0.15018906275021307
0.72,0.1486114846765353,0.0847187175409465,0.12119331550376833,0.15748458181664082
0.73,0.15604809971040384,0.08719914491396218,0.1281803276229149,0.15976401232938742
0.74,0.1656108372456925,0.0946503270872809,0.1370228502823529,0.15757509038708345
0.75,0.17408195398973803,0.10401116186819788,0.14688789400835991,0.1535692991640833
0.76,0.17827297907079392,0.11085044414548341,0.15625057323447047,0.15152908016820832
0.77,0.1767538132283239,0.11135826644661224,0.16323738498450235,0.1543455638729992
0.78,0.17073757362094563,0.10438442402041122,0.1662575319941208,0.16183904582642192
0.79,0.16283737638836362,0.09184524861894254,0.16470391685453728,0.17061569081818537
0.8,0.15502271281780833,0.07719208018079875,0.15911929506064768,0.1762332454577594
