диаметр_поршня_Ц1,диаметр_поршня_Ц2,низ_Ц1_перед_доля_рычага,низ_Ц1_зад_доля_рычага,низ_Ц2_перед_доля_рычага,низ_Ц2_зад_доля_рычага,верх_Ц1_перед_x_относительно_оси_ступицы_м,верх_Ц1_зад_x_относительно_оси_ступицы_м,верх_Ц2_перед_x_относительно_оси_ступицы_м,верх_Ц2_зад_x_относительно_оси_ступицы_м,верх_Ц1_перед_z_относительно_рамы_м,верх_Ц1_зад_z_относительно_рамы_м,верх_Ц2_перед_z_относительно_рамы_м,верх_Ц2_зад_z_относительно_рамы_м,ход_штока_Ц1_перед_м,ход_штока_Ц1_зад_м,ход_штока_Ц2_перед_м,ход_штока_Ц2_зад_м,объём_ресивера_2,объём_ресивера_3,объём_аккумулятора,давление_Pmin_питание_Ресивер2,давление_Pmin_сброс,давление_Pmid_сброс,давление_Pзаряд_аккумулятора_из_Ресивер3,открытие_дросселя_Ц2_CAP_в_ROD,открытие_дросселя_Ц2_ROD_в_CAP,пружина_масштаб,candidate,score_ring,penalty_ring,az_rms,z_std,roll_rms_deg,pitch_rms_deg,lift,stroke_min,stroke_max,stroke_span_mean,p3_final_bar_abs,pacc_final_bar_abs,pneu_share
0.04,0.045,0.85,0.78,0.68,0.55,0.05,0.05,-0.1,-0.06,0.45,0.58,0.52,0.52,0.25,0.22,0.28,0.28,0.001,0.003,0.003,455300.0,551325.0,781325.0,911325.0,0.36,0.24,0.14,46,,8.200000000000003,2.6419946626595077,0.05896075182875734,5.270666512911678,2.590198175187213,,0.0,1.0,0.8350529152355384,7.767341388585067,3.3588392239408766,0.12033144504527367
0.05,0.055,0.92,0.85,0.55,0.82,0.08,0.08,-0.1,-0.06,0.45,0.58,0.45,0.52,0.22,0.28,0.28,0.28,0.003,0.002,0.003,505300.0,651325.0,781325.0,911325.0,0.26,0.16,0.16,47,,4.200000000000004,2.965597217423394,0.04413871308080902,5.237818882079995,2.2717105172403094,,0.18428403750728023,1.0,0.6406748853121893,8.997376540960621,4.734255047904347,0.2464731750457455
0.05,0.05,0.78,0.92,0.68,0.55,0.02,0.05,-0.03,-0.1,0.58,0.45,0.45,0.52,0.22,0.28,0.22,0.25,0.002,0.0015,0.003,505300.0,651325.0,781325.0,911325.0,0.26,0.1,0.12,48,,7.9122617335385845,1.8865156824638643,0.04145212250275018,5.595959524090589,2.2168976992481566,,0.0,0.9958894533362654,0.8213123093902996,8.026793299379117,3.9731694235161554,0.2024320710375876
0.04,0.05,0.78,0.92,0.82,0.82,0.02,0.02,-0.03,-0.06,0.52,0.45,0.58,0.52,0.25,0.28,0.22,0.25,0.003,0.003,0.002,505300.0,551325.0,781325.0,851325.0,0.18,0.1,0.14,49,,4.200000000000004,2.343473949159661,0.043781497205699196,5.115472028728978,2.4518533676031318,,0.12211541290952978,1.0,0.802843968591149,7.813217405226076,2.8374298597796925,0.19841377222773363
0.05,0.045,0.85,0.78,0.68,0.82,0.02,0.08,-0.06,-0.1,0.58,0.45,0.52,0.58,0.25,0.28,0.25,0.22,0.001,0.0015,0.003,405300.0,601325.0,781325.0,781325.0,0.26,0.1,0.14,50,,5.397238567069449,2.339383391376175,0.04688263725846227,5.390425214428812,2.335807344315215,,0.0560552286586111,1.0,0.715151831000655,7.804189830803766,6.010674446175661,0.1851639679532483
0.04,0.055,0.78,0.78,0.55,0.68,0.05,0.05,-0.1,-0.06,0.52,0.52,0.58,0.52,0.22,0.22,0.28,0.25,0.001,0.002,0.002,505300.0,551325.0,851325.0,781325.0,0.36,0.24,0.12,51,,8.200000000000003,1.748828331655596,0.04186812062012959,5.693744050533495,1.9546980613110227,,0.0,1.0,0.7628764925834667,7.800109204259596,4.229572779284043,0.16847213197972796
0.04,0.055,0.92,0.78,0.68,0.68,0.02,0.05,-0.1,-0.1,0.58,0.52,0.45,0.58,0.22,0.22,0.25,0.28,0.001,0.0015,0.003,505300.0,651325.0,781325.0,851325.0,0.26,0.1,0.14,52,,8.200000000000003,2.342911171665813,0.0445951888921854,5.361200877930682,2.7839970146491115,,0.0,1.0,0.7851049356847726,8.163895165629379,4.121220185884876,0.2169314854552193
0.04,0.05,0.92,0.92,0.55,0.55,0.02,0.05,-0.1,-0.06,0.45,0.58,0.45,0.58,0.22,0.28,0.22,0.28,0.002,0.0015,0.002,455300.0,551325.0,781325.0,851325.0,0.18,0.24,0.16,53,,5.190980739623269,2.743705374149855,0.04825264169875684,5.11037324383989,2.7897364296690945,,0.0601803852075347,1.0,0.7630049307799178,7.657035206615161,3.7625224763602407,0.1504872561257788
0.045,0.045,0.92,0.78,0.68,0.55,0.02,0.05,-0.03,-0.1,0.52,0.45,0.45,0.58,0.22,0.22,0.22,0.25,0.001,0.002,0.003,405300.0,601325.0,851325.0,911325.0,0.26,0.16,0.14,54,,8.200000000000003,2.408789032298964,0.050800911988354694,5.354561249388335,2.852843715867971,,0.0,1.0,0.7787808774368886,8.49264628975088,4.642157139444976,0.16052002008203498
0.04,0.05,0.85,0.85,0.82,0.82,0.08,0.02,-0.06,-0.1,0.52,0.52,0.52,0.45,0.25,0.25,0.22,0.22,0.003,0.002,0.002,455300.0,601325.0,851325.0,911325.0,0.26,0.1,0.12,55,,5.4233628329355215,2.0014172816309674,0.042246303484272156,5.3966575437999875,2.367384574920079,,0.05553274334128965,1.0,0.8576953140057376,8.426523219037904,3.122309119007067,0.20878389414296994
0.045,0.05,0.85,0.92,0.68,0.55,0.05,0.08,-0.06,-0.06,0.52,0.58,0.45,0.45,0.28,0.22,0.25,0.22,0.002,0.0015,0.002,505300.0,551325.0,851325.0,911325.0,0.18,0.1,0.16,56,,8.200000000000003,2.893354969743468,0.047273619072397334,5.114891605556362,2.6150053250377043,,0.0,1.0,0.7845042381556822,8.503986831293117,4.457749458150685,0.1893668298334511
0.04,0.05,0.92,0.85,0.68,0.68,0.05,0.08,-0.1,-0.03,0.52,0.58,0.52,0.58,0.28,0.22,0.22,0.28,0.001,0.0015,0.003,455300.0,551325.0,851325.0,781325.0,0.18,0.16,0.14,57,,8.200000000000003,2.408478840475,0.045829837410526625,5.229841370447476,2.644629371584237,,0.0,1.0,0.7912028262089397,7.7956804439553045,5.322541780335355,0.18292774829139716
0.045,0.055,0.78,0.92,0.82,0.82,0.02,0.05,-0.06,-0.03,0.58,0.52,0.52,0.58,0.28,0.28,0.22,0.28,0.003,0.0015,0.002,405300.0,601325.0,781325.0,851325.0,0.18,0.24,0.14,58,,4.200000000000004,2.5392955642091986,0.04262515387746935,5.564831867899281,2.531586405832513,,0.1452819565967833,1.0,0.7255318756575041,8.184134831702169,3.7288048381461802,0.2850429587160718
0.04,0.05,0.78,0.78,0.68,0.82,0.08,0.02,-0.06,-0.03,0.52,0.58,0.52,0.52,0.28,0.28,0.25,0.22,0.001,0.003,0.003,505300.0,551325.0,851325.0,851325.0,0.36,0.16,0.12,59,,4.740906905017608,1.7212014361006205,0.04243827107279542,5.498556317098497,2.0197994148836895,,0.06918186189964791,1.0,0.7639646839936877,8.356280993564049,2.924565586403983,0.16689963977006633
0.04,0.055,0.78,0.92,0.68,0.55,0.05,0.02,-0.06,-0.03,0.58,0.58,0.52,0.45,0.25,0.25,0.28,0.28,0.002,0.002,0.003,455300.0,601325.0,851325.0,851325.0,0.18,0.24,0.16,60,,8.200000000000003,2.7801680880835327,0.04754620232888028,5.1558422286630705,2.919758278407849,,0.0,1.0,0.7594926188943367,8.304317591486262,4.353401717919873,0.19048336284933554
0.05,0.045,0.85,0.78,0.82,0.68,0.05,0.08,-0.1,-0.06,0.58,0.58,0.58,0.52,0.25,0.22,0.25,0.22,0.001,0.003,0.003,405300.0,601325.0,781325.0,911325.0,0.36,0.1,0.14,61,,4.638444309352457,2.2850036575114983,0.04522320814873584,5.337425112498808,2.4682904963918393,,0.07123111381295093,1.0,0.7764865819053506,8.676780210009728,4.900904824426952,0.18990047170034371
0.04,0.045,0.85,0.85,0.55,0.82,0.02,0.08,-0.1,-0.06,0.58,0.52,0.58,0.45,0.25,0.25,0.28,0.28,0.002,0.003,0.002,505300.0,551325.0,781325.0,911325.0,0.18,0.24,0.14,62,,8.155621404085242,2.442843355686826,0.04897645680049641,5.2314252193746125,2.3884857026592305,,0.0008875719182952491,1.0,0.7877015113358472,7.701723533899203,3.1739489161462378,0.1314459738094254
0.05,0.055,0.92,0.92,0.55,0.55,0.02,0.02,-0.03,-0.1,0.45,0.58,0.52,0.45,0.28,0.22,0.28,0.22,0.001,0.002,0.003,455300.0,551325.0,781325.0,851325.0,0.36,0.16,0.14,63,,8.200000000000003,2.6952555978092807,0.04651796466789615,5.265530000803628,2.3042077253412736,,0.0,1.0,0.7304891206680707,8.03614256968816,5.968305328925328,0.20310103239594793
