диаметр_поршня_Ц1,диаметр_поршня_Ц2,низ_Ц1_перед_доля_рычага,низ_Ц1_зад_доля_рычага,низ_Ц2_перед_доля_рычага,низ_Ц2_зад_доля_рычага,верх_Ц1_перед_x_относительно_оси_ступицы_м,верх_Ц1_зад_x_относительно_оси_ступицы_м,верх_Ц2_перед_x_относительно_оси_ступицы_м,верх_Ц2_зад_x_относительно_оси_ступицы_м,верх_Ц1_перед_z_относительно_рамы_м,верх_Ц1_зад_z_относительно_рамы_м,верх_Ц2_перед_z_относительно_рамы_м,верх_Ц2_зад_z_относительно_рамы_м,ход_штока_Ц1_перед_м,ход_штока_Ц1_зад_м,ход_штока_Ц2_перед_м,ход_штока_Ц2_зад_м,объём_ресивера_2,объём_ресивера_3,объём_аккумулятора,давление_Pmin_питание_Ресивер2,давление_Pmin_сброс,давление_Pmid_сброс,давление_Pзаряд_аккумулятора_из_Ресивер3,открытие_дросселя_Ц2_CAP_в_ROD,открытие_дросселя_Ц2_ROD_в_CAP,пружина_масштаб,candidate,score_ring,penalty_ring,az_rms,z_std,roll_rms_deg,pitch_rms_deg,lift,stroke_min,stroke_max,stroke_span_mean,p3_final_bar_abs,pacc_final_bar_abs,pneu_share
0.05,0.055,0.85,0.78,0.82,0.68,0.05,0.08,-0.1,-0.03,0.58,0.58,0.45,0.45,0.25,0.25,0.28,0.28,0.002,0.0015,0.003,455300.0,601325.0,851325.0,911325.0,0.36,0.16,0.14,12,,4.200000000000004,2.305669462338892,0.04333023614776378,5.627708393997314,2.7869657326221926,,0.10954104462605274,1.0,0.7304891009112258,8.563733928092882,4.451226749703627,0.26034947134554676
0.05,0.05,0.85,0.92,0.82,0.55,0.05,0.08,-0.1,-0.1,0.58,0.52,0.58,0.52,0.22,0.28,0.22,0.22,0.003,0.003,0.003,455300.0,651325.0,851325.0,781325.0,0.26,0.24,0.16,13,,4.200000000000004,2.605466755148709,0.045164139115092726,5.241189386031628,2.4391007873232144,,0.12299654212190471,1.0,0.7873401432342088,8.433082271084071,8.738202444438635,0.2156738261586991
0.045,0.055,0.92,0.92,0.68,0.82,0.02,0.02,-0.1,-0.06,0.52,0.58,0.52,0.58,0.28,0.25,0.28,0.22,0.002,0.0015,0.002,455300.0,601325.0,781325.0,851325.0,0.26,0.1,0.14,14,,7.548814838166587,2.845177782945643,0.04449693086585411,5.23640747166015,2.1862095160971213,,0.013023703236668342,1.0,0.7706567136736449,8.191636512707685,4.239472416464629,0.25982767155963565
0.045,0.05,0.92,0.78,0.82,0.68,0.05,0.08,-0.06,-0.03,0.52,0.45,0.58,0.52,0.28,0.28,0.22,0.22,0.002,0.003,0.003,405300.0,651325.0,781325.0,781325.0,0.36,0.16,0.12,15,,5.224040610252294,1.6065713260881636,0.039920769194816304,5.859081411613837,2.8758100677875253,,0.059519187794954194,1.0,0.8020130647796677,7.772975508514039,3.5334947308578033,0.1984888779058768
0.05,0.055,0.85,0.78,0.55,0.68,0.02,0.02,-0.03,-0.03,0.45,0.52,0.52,0.52,0.25,0.22,0.28,0.25,0.001,0.0015,0.003,455300.0,551325.0,781325.0,851325.0,0.18,0.1,0.14,16,,4.200000000000004,2.4937783865995082,0.04343676808358619,5.368572423074157,2.350704564026753,,0.12807445863690906,1.0,0.6941102207414194,8.404877629984057,4.478146748970214,0.21961202071263103
0.05,0.045,0.78,0.92,0.68,0.68,0.05,0.08,-0.03,-0.03,0.52,0.52,0.52,0.58,0.22,0.22,0.28,0.22,0.002,0.0015,0.003,505300.0,551325.0,781325.0,851325.0,0.26,0.24,0.12,17,,7.795869438467168,1.9761839422852068,0.04174251642188888,5.989851655166507,2.1611034730936654,,0.008082611230656721,1.0,0.7727582411679887,7.879517110307111,4.75892835760793,0.17732128220524576
0.05,0.045,0.78,0.78,0.55,0.82,0.05,0.08,-0.1,-0.1,0.45,0.52,0.45,0.52,0.22,0.22,0.25,0.25,0.001,0.002,0.003,455300.0,651325.0,851325.0,781325.0,0.36,0.24,0.12,18,,8.200000000000003,1.5658359179124188,0.0415197313072545,6.778007639029856,2.2719417876079513,,0.0,1.0,0.8454885770586104,7.8097077807627375,6.805059090612981,0.17168369979118536
0.05,0.055,0.92,0.85,0.68,0.55,0.05,0.02,-0.06,-0.06,0.52,0.45,0.52,0.58,0.25,0.25,0.28,0.28,0.003,0.002,0.002,505300.0,601325.0,851325.0,851325.0,0.18,0.16,0.14,19,,4.200000000000004,2.368027591840701,0.04442932405186801,5.495148960899247,2.7709273793187954,,0.10853249668805742,1.0,0.6869604406063434,8.505182935451057,5.8162399237658615,0.22710246706738502
0.045,0.055,0.78,0.92,0.68,0.55,0.05,0.02,-0.06,-0.1,0.45,0.52,0.52,0.58,0.28,0.25,0.25,0.28,0.002,0.003,0.002,455300.0,651325.0,851325.0,911325.0,0.18,0.16,0.14,20,,4.200000000000004,2.493097508336945,0.044894255334141965,5.222279932877567,2.762013104643613,,0.12029807245151014,1.0,0.698470750515152,8.465180470732358,3.4232289445720667,0.20132624313235178
0.045,0.05,0.78,0.92,0.55,0.55,0.05,0.02,-0.03,-0.1,0.52,0.52,0.45,0.45,0.22,0.25,0.28,0.22,0.003,0.002,0.002,405300.0,601325.0,851325.0,911325.0,0.26,0.1,0.16,21,,5.813356390246956,2.8507513422778628,0.0483286599611719,5.119475006241368,2.5686875337824304,,0.04773287219506095,1.0,0.775295307878706,8.460933407028076,3.742452849125025,0.16784935078834817
0.05,0.05,0.85,0.85,0.68,0.68,0.05,0.02,-0.03,-0.1,0.58,0.52,0.52,0.45,0.25,0.22,0.25,0.25,0.003,0.0015,0.003,405300.0,601325.0,851325.0,851325.0,0.36,0.16,0.14,22,,7.979568452880352,2.4730622076918776,0.04551034170974515,5.3259435502107975,2.379148506778331,,0.004408630942393029,1.0,0.7635706252719473,8.419089326187725,8.993829978055256,0.20424371398911823
0.045,0.045,0.92,0.78,0.82,0.68,0.02,0.02,-0.1,-0.1,0.52,0.45,0.58,0.52,0.28,0.25,0.28,0.25,0.003,0.002,0.002,455300.0,651325.0,781325.0,851325.0,0.26,0.16,0.16,23,,4.200000000000004,2.45225217851512,0.04816467785257315,5.359366256771478,2.8550815039885054,,0.0834186766932754,1.0,0.7743258866507858,8.048396752518897,4.083911799451884,0.1796758166234865
