UnifiedPneumoApp_UNIFIED_v6_13_WINSAFE.zip,4856665,177,8,52,pneumo_solver_ui/pages/05_DBQueue_R61.py;pneumo_solver_ui/pages/06_DBQueue_SplitRoles_R62.py;pneumo_solver_ui/tools/dbqueue_controller.py;pneumo_solver_ui/tools/dbqueue_ctl.py;pneumo_solver_ui/tools/dbqueue_proposer.py,app.py;pneumo_solver_ui/iso6358_system.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched_smooth_all.py;pneumo_solver_ui/opt_worker_v3_margins_energy.py,68
Mechanika639v647.zip,3921808,200,0,55,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,55
AnimaciyaV649R67.zip,4013975,199,0,55,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,55
Testy639.zip,3875293,199,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
AlgoritmyOptimizatsiiSixThirtyNineSixFortyTwoRobustAshaCacheActiveSetPack.zip,4013336,198,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
Mechanika642v649.zip,3981521,198,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
Mechanika642v648.zip,3977082,198,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
RealizatsiyaOptimizatsii642.zip,3970668,198,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
RealizatsiyaOptimizatsii639.zip,4240672,197,0,54,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,54
DiagrammyV632WinSafeChartsSuite3.zip,7804102,187,0,54,,app.py;pneumo_solver_ui/compare_ui.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py,54
DiagrammyUnifiedPneumoAppV628ChartsSuite (1).zip,2474064,182,0,54,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_ui.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,54
AnimaciyaV640P06R11.zip,5205173,271,0,53,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,53
Mechanika639v650.zip,3994221,198,0,53,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,53
Matematika639.zip,3862062,198,0,53,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,53
UnifiedPneumoApp_UNIFIED_v6_39_WINSAFE.zip,3925405,197,0,53,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,53
UnifiedPneumoApp_UNIFIED_v6_38_WINSAFE.zip,3583225,197,0,53,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,53
UnifiedPneumoApp_UNIFIED_v6_37_WINSAFE.zip,5654138,190,0,53,,app.py;pneumo_dist/trial_hash.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,53
RealizatsiyaOptimizatsii632.zip,86362441,187,0,53,,app.py;pneumo_dist/trial_hash.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py,53
RealizatsiyaOptimizatsii633.zip,2719245,187,0,53,,START_PNEUMO_APP.py;app.py;pneumo_dist/trial_hash.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py,53
FizikaR65UnifiedV629.zip,2707431,181,0,53,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_ui.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,53
AnimaciyaV640P06R10.zip,5512670,271,0,52,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,52
Diagrammy640P06R10.zip,5848464,263,0,52,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,52
Diagrammy640P06R7.zip,5774737,263,0,52,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,52
Testy639 (1).zip,6760414,197,0,52,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,52
Kod639TestyRel1FullWorkingPackage.zip,3918790,197,0,52,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,52
Kod639Rel2FullWorkingPackage.zip,3915762,197,0,52,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,52
VerifikatsiyaV639WinSafeFix1.zip,3881715,197,0,52,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,52
Kod632Rel1FullWorkingPackage.zip,88891848,189,0,52,,app.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,52
RealizatsiyaOptimizatsii635.zip,2829125,187,0,52,,START_PNEUMO_APP.py;app.py;pneumo_dist/trial_hash.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py,52
Mechanika632v636.zip,10962065,375,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,51
FizikaV633R2.zip,10669708,375,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,51
AnimaciyaV640P06R02.zip,4963280,264,0,51,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,51
Testy632.zip,86051473,188,0,51,,app.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,51
DiagrammyV635WinSafeChartsSuite.zip,2890657,188,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/compare_ui.py;pneumo_solver_ui/crash_guard.py,51
VerifikatsiyaV632WinSafeFix1.zip,86149563,187,0,51,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,51
FizikaV632R1.zip,86123866,187,0,51,,app.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,51
Pnevmatika632.zip,75639978,187,0,51,,app.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,51
UnifiedPneumoApp_UNIFIED_v6_32_WINSAFE.zip,10576032,187,0,51,,app.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,51
Interfeis632.zip,7808077,187,0,51,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,51
AnimaciyaV632R59.zip,7791727,187,0,51,,app.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,51
VerifikatsiyaV633WinSafeFix2.zip,4733828,187,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,51
UnifiedPneumoApp_UNIFIED_v6_34_WINSAFE.zip,2696964,187,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,51
Kod36FullWorkingPackage.zip,18199410,181,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_ui.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,51
AlgoritmyOptimizatsiiUnifiedPneumoAppVersionSixThirtyOneWarmstartPromotionPack.zip,10482026,181,0,51,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,51
RealizatsiyaOptimizatsiiRelease71.zip,10463586,180,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_ui.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,51
UnifiedPneumoApp_UNIFIED_v6_30_WINSAFE.zip,10200107,180,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_ui.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,51
VerifikatsiyaUnifiedPneumoAppSixTwoNineWinSafe.zip,5101875,180,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_ui.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,51
MechanikaUnifiedPneumoApp.zip,2532291,180,0,51,,app.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum_patched_smooth_all.py;pneumo_solver_ui/opt_worker_v3_margins_energy.py;pneumo_solver_ui/passport_check.py,51
UnifiedPneumoApp_UNIFIED_v6_29_WINSAFE.zip,2407205,180,0,51,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_ui.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,51
PROJECT_PRESERVE_PACK_v9.zip,2110467,167,0,51,,pneumo_dist/expdb.py;pneumo_dist/hv_tools.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py,51
UnifiedPneumoApp_UNIFIED_v6_33_WINSAFE.zip,13212234,374,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,50
Mechanika632v635.zip,11200624,374,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,50
Mechanika632v634.zip,10740174,374,0,50,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,50
Diagrammy640P06R2.zip,5109115,263,0,50,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,50
UnifiedPneumoApp_UNIFIED_v6_40_PATCH06_MERGED.zip,4943817,263,0,50,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/desktop_animator/data_bundle.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py,50
Mechanika639v651.zip,4425732,200,0,50,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,50
Mechanika651v653.zip,4133850,200,0,50,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,50
Interfeis651.zip,4100979,200,0,50,,pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/pages/00_Setup.py;pneumo_solver_ui/pages/01_SchemeIntegrity.py,50
UnifiedPneumoApp_UNIFIED_v6_36_WINSAFE.zip,2854578,190,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,50
Interfeis633 (1).zip,2267476,190,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,50
FizikaV635R1.zip,3229432,188,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,50
AnimaciyaV635R60.zip,2963061,188,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,50
VerifikatsiyaV635WinSafeFix1.zip,2950240,188,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,50
AlgoritmyOptimizatsiiSixThirtyFiveScenarioRobustCacheSelfcheckPack.zip,2841595,188,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,50
Matematika635.zip,2798772,188,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,50
Matematika632.zip,86132904,187,0,50,,app.py;pneumo_solver_ui/desktop_animator/app.py;pneumo_solver_ui/diag/bootstrap.py;pneumo_solver_ui/diag/eventlog.py;pneumo_solver_ui/model_pneumo_v8_energy_audit_vacuum.py,50
PROJECT_PRESERVE_PACK_v6_33.zip,70669598,187,0,50,,START_PNEUMO_APP.py;app.py;pneumo_solver_ui/compare_npz_web.py;pneumo_solver_ui/crash_guard.py;pneumo_solver_ui/desktop_animator/app.py,50
