name,score,penalty,diag_energy_J,exhaust_energy_J,diag_to_exhaust_ratio,pneu_share,overrides_json,az_rms,z_std,roll_rms_deg,pitch_rms_deg,lift,stroke_min,stroke_max,stroke_span,p3_final_bar_abs,pacc_final_bar_abs,параметр__верх_Ц1_перед_x_относительно_оси_ступицы_м,параметр__верх_Ц1_зад_x_относительно_оси_ступицы_м,параметр__верх_Ц2_перед_x_относительно_оси_ступицы_м,параметр__верх_Ц2_зад_x_относительно_оси_ступицы_м,параметр__верх_Ц1_перед_z_относительно_рамы_м,параметр__верх_Ц1_зад_z_относительно_рамы_м,параметр__верх_Ц2_перед_z_относительно_рамы_м,параметр__верх_Ц2_зад_z_относительно_рамы_м,параметр__диаметр_поршня_Ц1,параметр__диаметр_поршня_Ц2,параметр__низ_Ц1_перед_доля_рычага,параметр__низ_Ц1_зад_доля_рычага,параметр__низ_Ц2_перед_доля_рычага,параметр__низ_Ц2_зад_доля_рычага,параметр__ход_штока_Ц1_перед_м,параметр__ход_штока_Ц1_зад_м,параметр__ход_штока_Ц2_перед_м,параметр__ход_штока_Ц2_зад_м,параметр__пружина_масштаб,параметр__пружина_Ц1_перед_масштаб,параметр__пружина_Ц1_зад_масштаб,параметр__пружина_Ц2_перед_масштаб,параметр__пружина_Ц2_зад_масштаб,параметр__давление_Pmin_питание_Ресивер2,параметр__давление_Pmin_сброс,параметр__давление_Pmid_сброс,параметр__давление_Pзаряд_аккумулятора_из_Ресивер3,параметр__открытие_дросселя_Ц2_CAP_в_ROD,параметр__открытие_дросселя_Ц2_ROD_в_CAP,параметр__объём_ресивера_2,параметр__объём_ресивера_3,параметр__объём_аккумулятора
fullstroke_safe,1.7569987136449543,0.48453456687091667,1.5801234500853765,0.007220406413198219,218.84134488566468,0.18488899675573423,"{""верх_Ц1_зад_x_относительно_оси_ступицы_м"": 0.05, ""верх_Ц1_зад_z_относительно_рамы_м"": 0.52, ""верх_Ц1_перед_x_относительно_оси_ступицы_м"": 0.05, ""верх_Ц1_перед_z_относительно_рамы_м"": 0.52, ""верх_Ц2_зад_x_относительно_оси_ступицы_м"": -0.06, ""верх_Ц2_зад_z_относительно_рамы_м"": 0.52, ""верх_Ц2_перед_x_относительно_оси_ступицы_м"": -0.06, ""верх_Ц2_перед_z_относительно_рамы_м"": 0.52, ""давление_Pmid_сброс"": 851325.0, ""давление_Pmin_питание_Ресивер2"": 505300.0, ""давление_Pmin_сброс"": 601325.0, ""давление_Pзаряд_аккумулятора_из_Ресивер3"": 911325.0, ""диаметр_поршня_Ц1"": 0.045, ""диаметр_поршня_Ц2"": 0.05, ""низ_Ц1_зад_доля_рычага"": 0.82, ""низ_Ц1_перед_доля_рычага"": 0.82, ""низ_Ц2_зад_доля_рычага"": 0.74, ""низ_Ц2_перед_доля_рычага"": 0.74, ""объём_аккумулятора"": 0.003, ""объём_ресивера_2"": 0.002, ""объём_ресивера_3"": 0.003, ""открытие_дросселя_Ц2_CAP_в_ROD"": 0.26, ""открытие_дросселя_Ц2_ROD_в_CAP"": 0.14, ""пружина_Ц1_зад_масштаб"": 0.14, ""пружина_Ц1_перед_масштаб"": 0.14, ""пружина_Ц2_зад_масштаб"": 0.14, ""пружина_Ц2_перед_масштаб"": 0.14, ""пружина_масштаб"": 0.14, ""ход_штока_Ц1_зад_м"": 0.32, ""ход_штока_Ц1_перед_м"": 0.32, ""ход_штока_Ц2_зад_м"": 0.32, ""ход_штока_Ц2_перед_м"": 0.32}",2.402209512933635,0.04733790625063223,5.143180235044726,2.7798698870959733,0.24067288474350432,0.12876894252627494,0.9469219223838702,0.6900430691527514,8.407586390560589,3.3828503943050374,0.05,0.05,-0.06,-0.06,0.52,0.52,0.52,0.52,0.045,0.05,0.82,0.82,0.74,0.74,0.32,0.32,0.32,0.32,0.14,0.14,0.14,0.14,0.14,505300.0,601325.0,851325.0,911325.0,0.26,0.14,0.002,0.003,0.003
higher_regulators,5.168518507962892,4.200000000000004,1.7210981832152643,0.007220406413198219,238.365832159982,0.20906856194686846,"{""верх_Ц1_зад_x_относительно_оси_ступицы_м"": 0.05, ""верх_Ц1_зад_z_относительно_рамы_м"": 0.52, ""верх_Ц1_перед_x_относительно_оси_ступицы_м"": 0.05, ""верх_Ц1_перед_z_относительно_рамы_м"": 0.52, ""верх_Ц2_зад_x_относительно_оси_ступицы_м"": -0.06, ""верх_Ц2_зад_z_относительно_рамы_м"": 0.52, ""верх_Ц2_перед_x_относительно_оси_ступицы_м"": -0.06, ""верх_Ц2_перед_z_относительно_рамы_м"": 0.52, ""давление_Pmid_сброс"": 851325.0, ""давление_Pmin_питание_Ресивер2"": 505300.0, ""давление_Pmin_сброс"": 601325.0, ""давление_Pзаряд_аккумулятора_из_Ресивер3"": 911325.0, ""диаметр_поршня_Ц1"": 0.045, ""диаметр_поршня_Ц2"": 0.05, ""низ_Ц1_зад_доля_рычага"": 0.85, ""низ_Ц1_перед_доля_рычага"": 0.85, ""низ_Ц2_зад_доля_рычага"": 0.82, ""низ_Ц2_перед_доля_рычага"": 0.82, ""объём_аккумулятора"": 0.003, ""объём_ресивера_2"": 0.002, ""объём_ресивера_3"": 0.003, ""открытие_дросселя_Ц2_CAP_в_ROD"": 0.26, ""открытие_дросселя_Ц2_ROD_в_CAP"": 0.14, ""пружина_Ц1_зад_масштаб"": 0.14, ""пружина_Ц1_перед_масштаб"": 0.14, ""пружина_Ц2_зад_масштаб"": 0.14, ""пружина_Ц2_перед_масштаб"": 0.14, ""пружина_масштаб"": 0.14, ""ход_штока_Ц1_зад_м"": 0.28, ""ход_штока_Ц1_перед_м"": 0.28, ""ход_штока_Ц2_зад_м"": 0.28, ""ход_штока_Ц2_перед_м"": 0.28}",2.328283341240839,0.04413991668133429,5.152011973830889,2.511010516668426,0.23550966022651565,0.15176908911556095,1.0,0.7674693278314658,8.49899590497605,3.074501797783754,0.05,0.05,-0.06,-0.06,0.52,0.52,0.52,0.52,0.045,0.05,0.85,0.85,0.82,0.82,0.28,0.28,0.28,0.28,0.14,0.14,0.14,0.14,0.14,505300.0,601325.0,851325.0,911325.0,0.26,0.14,0.002,0.003,0.003
reserve_pack,5.509053161786062,4.200000000000004,1.530778560303395,0.007220406413198219,212.00725730691235,0.27164811595171023,"{""верх_Ц1_зад_x_относительно_оси_ступицы_м"": 0.05, ""верх_Ц1_зад_z_относительно_рамы_м"": 0.52, ""верх_Ц1_перед_x_относительно_оси_ступицы_м"": 0.05, ""верх_Ц1_перед_z_относительно_рамы_м"": 0.52, ""верх_Ц2_зад_x_относительно_оси_ступицы_м"": -0.06, ""верх_Ц2_зад_z_относительно_рамы_м"": 0.52, ""верх_Ц2_перед_x_относительно_оси_ступицы_м"": -0.06, ""верх_Ц2_перед_z_относительно_рамы_м"": 0.52, ""давление_Pmid_сброс"": 851325.0, ""давление_Pmin_питание_Ресивер2"": 505300.0, ""давление_Pmin_сброс"": 601325.0, ""давление_Pзаряд_аккумулятора_из_Ресивер3"": 911325.0, ""диаметр_поршня_Ц1"": 0.05, ""диаметр_поршня_Ц2"": 0.055, ""низ_Ц1_зад_доля_рычага"": 0.92, ""низ_Ц1_перед_доля_рычага"": 0.92, ""низ_Ц2_зад_доля_рычага"": 0.82, ""низ_Ц2_перед_доля_рычага"": 0.82, ""объём_аккумулятора"": 0.003, ""объём_ресивера_2"": 0.003, ""объём_ресивера_3"": 0.003, ""открытие_дросселя_Ц2_CAP_в_ROD"": 0.18, ""открытие_дросселя_Ц2_ROD_в_CAP"": 0.1, ""пружина_Ц1_зад_масштаб"": 0.12, ""пружина_Ц1_перед_масштаб"": 0.12, ""пружина_Ц2_зад_масштаб"": 0.12, ""пружина_Ц2_перед_масштаб"": 0.12, ""пружина_масштаб"": 0.12, ""ход_штока_Ц1_зад_м"": 0.28, ""ход_штока_Ц1_перед_м"": 0.28, ""ход_штока_Ц2_зад_м"": 0.28, ""ход_штока_Ц2_перед_м"": 0.28}",2.3810060182173447,0.04134075849392471,5.531547701565588,2.4695101877252683,0.23550966022651565,0.1390801704965095,1.0,0.7223682008970417,8.598425932292455,3.7930447136891523,0.05,0.05,-0.06,-0.06,0.52,0.52,0.52,0.52,0.05,0.055,0.92,0.92,0.82,0.82,0.28,0.28,0.28,0.28,0.12,0.12,0.12,0.12,0.12,505300.0,601325.0,851325.0,911325.0,0.18,0.1,0.003,0.003,0.003
current_defaults,7.1806582611684675,4.795374721981452,0.7978879999618899,0.007220406413198219,110.5045830250533,0.14970229909571833,{},2.425691242467035,0.05098347093299932,5.3221251870968445,2.5278751492534464,0.23784143904063956,0.032741474858211106,0.9747492637841715,0.8267690721578718,6.891300230203271,3.856536536056022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
