t,z0,z1,z2,z3
0.0,0.0,0.0,-0.02386576216889929,-0.055785710440072585
0.01,0.000968405867929036,0.0004327651032063855,-0.02854649323022758,-0.044488356176613744
0.02,0.0018801830162120839,0.003802565709402114,-0.032631972959636095,-0.04749920416253116
0.03,0.0044617151226942825,0.007749542143444184,-0.025110246824131023,-0.04588010612221202
0.04,0.011079211910811142,0.010437102991488856,-0.01737920812532458,-0.03127239254143725
0.05,0.010806493029673946,0.012567419699128005,-0.011700377635164244,-0.020422964919356915
0.06,-0.0026744938123713694,0.011756605242141553,-0.002816348282824412,-0.026277351764628337
0.07,-0.014236988456780736,0.009175120173863918,-0.0006134120392838791,-0.03296395756655328
0.08,-0.014519841288036425,0.01453640140859084,-0.00718844837465745,-0.027176354766745382
0.09,-0.016586984776728635,0.027371052806004836,-0.008495768449399154,-0.022715000873230133
0.1,-0.026966954800798054,0.02988829758379073,-0.006774772536742958,-0.025256660992361606
0.11,-0.03472754078060636,0.01577089758014777,-0.010951273167208354,-0.020064813490435547
0.12,-0.03654615686502446,0.0026221680040488735,-0.010119086245989502,-0.007379249322561108
0.13,-0.03967288591450042,0.001702880888307469,-0.0015728767045436797,-0.0005141001150770714
0.14,-0.043786295488878565,0.0034910555082237585,0.0002392265861212773,-6.788299245157777e-05
0.15,-0.042547616247475294,0.0029553477250879564,0.0015500062495929542,0.0017959329791881534
0.16,-0.033412369967300404,0.008223343822182106,0.0025773324145827157,0.005930815031215879
0.17,-0.019414992429887333,0.0173629181255675,0.00766451874853625,0.009183955529448177
0.18,-0.01024179483445822,0.016799559513239647,0.012706042973625287,0.011641500145331479
0.19,-0.01213250511841508,0.007730282681549787,0.00513148494955369,0.01270685613640363
0.2,-0.014992364300731907,0.007171210199304774,-0.00988089763075483,0.010153329377718377
0.21,-0.009438930820416969,0.01929583678518819,-0.015281208897698725,0.010366982373793548
0.22,-0.006815895338970076,0.028980935545317117,-0.014367796923430664,0.020954390568531114
0.23,-0.01810485192580925,0.02733607089016568,-0.02126674538834431,0.0309856020081955
0.24,-0.03181310634625815,0.023534083361008644,-0.03181545624896759,0.024132715867552786
0.25,-0.03339927374148302,0.025674228362691606,-0.035929641168864455,0.0077987110691756165
0.26,-0.0246313959061252,0.027916660002447437,-0.03767783006191057,0.0009448519548949848
0.27,-0.013601650710444006,0.025095095895592702,-0.04202220240580938,0.0030137962678497177
0.28,-0.006594996862267959,0.02165566611687561,-0.044122077004945096,0.0030857301742917916
0.29,-0.0085453898822778,0.01643752578678705,-0.038926154456570466,0.0044994248691412045
0.3,-0.015204691549299432,0.0021316230594657826,-0.026549072823271427,0.013180400475377215
0.31,-0.014827531196414896,-0.012265704831578928,-0.013516878468198424,0.018815027164318376
0.32,-0.006819075458705924,-0.010357427992485744,-0.010077015606907932,0.01232656948519193
0.33,-0.002353923038700803,-0.0007689738872795759,-0.01443712597496118,0.005526184746521872
0.34,-0.0028611176412604547,-0.0018750063788674103,-0.012996342947639296,0.012375661350498045
0.35000000000000003,0.0014779200662594213,-0.007294008739581628,-0.006616670804386605,0.025468250165523263
0.36,0.01043325504179273,-0.007294930565539421,-0.010969101333231276,0.02929427899523662
0.37,0.014089354769901911,-0.01198463548311268,-0.025883219527837308,0.02487484354170878
0.38,0.01455531748288743,-0.0196090995765007,-0.03436899724827374,0.023975848633483638
0.39,0.020599914546614438,-0.01301471520888859,-0.02976326195256095,0.027370831444283907
0.4,0.02313018485955282,-0.002602539652592218,-0.018991661598252583,0.02696956211532306
0.41000000000000003,0.009183405289770732,-0.010223401166393038,-0.009200534330176912,0.02319535822217812
0.42,-0.006318725071271072,-0.022185681843017942,-0.0063953238930043775,0.019847146218093453
0.43,-0.0020643716036094378,-0.019073481457659427,-0.012046431402446644,0.010410814045502516
0.44,0.010942224819718585,-0.01369988767829844,-0.016379482318337666,-0.006368758890293319
0.45,0.01393165239745063,-0.01567739090991541,-0.01111726792068618,-0.013551838756712647
0.46,0.016745871442233256,-0.013762992698758839,-0.0036170168114730045,-0.005024929047972515
0.47000000000000003,0.02944251224085753,-0.008599974094785062,-0.0025774052287304244,0.00024815365526491647
0.48,0.036582870587977705,-0.007580219692328714,-0.001712917065805109,-0.0051362473378715615
0.49,0.03217514294278858,-0.0030490573400346766,0.006040397808460063,-0.007601914808949893
0.5,0.03317041848890249,0.006151818018598514,0.013234351857863865,-0.008433583905040577
0.51,0.04055022320554837,0.008981240841336786,0.013978298788463047,-0.01667189854893392
0.52,0.037276423380966414,0.008660067642076054,0.01691834654421768,-0.018373850649315716
0.53,0.026614915827252932,0.014317535736259398,0.023526649822063678,-0.006416281847577255
0.54,0.025811921129480143,0.02215620316524418,0.0180226456547707,-0.004099103820336091
0.55,0.03172409669322521,0.028728323029518867,-0.00020374318029283252,-0.017544201481039492
0.56,0.029112939277429056,0.033134390555716514,-0.006799642450975418,-0.02231584086258008
0.5700000000000001,0.018619872069505244,0.03083751210569998,0.00501800593436113,-0.015387383545442735
0.58,0.013087119976620818,0.029864078566359305,0.013713768663562288,-0.014341567727142492
0.59,0.016464287936079017,0.041225747404161135,0.014112346274394272,-0.01571357278675825
0.6,0.019197995201393096,0.051651993978604926,0.022440866918209956,-0.010842288953026719
0.61,0.015070600915639946,0.0510774047875327,0.03483786673560244,-0.007785006397040448
0.62,0.014281033938427105,0.05791307178844287,0.03491672790058763,-0.006337447067233122
0.63,0.025806324620807924,0.07728724842055958,0.031152492511630946,0.0017089915907728512
0.64,0.03693257442813993,0.08720076888693218,0.03718973727579906,0.00865451552920503
0.65,0.03457321239320469,0.08429367033676406,0.040787912781940265,0.008399604303891146
0.66,0.03050543037016527,0.08474678744537226,0.03162053424520758,0.010733457007730946
0.67,0.03748204719251031,0.08842465965050002,0.024525524393047202,0.018387527586913983
0.68,0.04361267436894588,0.08683172212052856,0.02901302230440527,0.025532159796662953
0.6900000000000001,0.03671275430993409,0.08098868214225356,0.03196130381887987,0.03153654784525642
0.7000000000000001,0.02848597222925826,0.07360117232091275,0.024066502238146034,0.03278013349490444
0.71,0.032965944480020645,0.06769121793095291,0.014596398935327456,0.029100547190126152
0.72,0.0430701177447602,0.06507100545436581,0.014067346370323927,0.034270522902865946
0.73,0.017117707188925354,0.06105444134825503,0.018646281926926616,0.04790169402066813
0.74,0.011311682253017525,0.05821301308925469,0.017694000906406982,0.05198609197637277
0.75,0.014604924364098479,0.06250143620844928,0.013282179428460501,0.0523185031915733
0.76,0.010874141182277731,0.06058249632766586,0.018819454977231267,0.06725734509017835
0.77,0.022597986796149785,0.045561607541205515,0.032717368773976296,0.0845069078082857
0.78,0.02170492783566232,0.040187406773093785,0.0372412543113787,0.08627706109829114
0.79,0.028740767890313847,0.04765428615680245,0.03145729550586841,0.08355906924603972
0.8,0.026538844335640462,0.04001767460960655,0.03284819832724509,0.0868827596471786
0.81,0.01010466451973581,0.02186314211333441,0.04190398954351527,0.08840996740132742
0.8200000000000001,0.00792908147220249,0.020312717313752646,0.04155840710581422,0.08420947068129428
0.8300000000000001,0.02073136444953643,0.0223756425066639,0.031499605471237604,0.07737253289039689
0.84,0.022617430521863068,0.010113215627016567,0.029088549536023182,0.07018681232768482
0.85,0.0209242792106094,0.00834692627104628,0.03835250214475671,0.06619711641239658
0.86,0.03266180133349733,0.02892793605606324,0.03486174988766762,0.0634335212476645
0.87,0.037522902563676956,0.04161271424987959,0.010992862931497477,0.05883121629598217
0.88,0.02484919549440246,0.03474974850329705,0.012841312624840458,0.05983834433744869
0.89,0.020956557222686654,0.02939973262516573,0.014546683061840841,0.06352770219753659
0.9,0.02833258304383492,0.0328172578554867,0.012698733304692001,0.05365446545663869
0.91,0.020483310220604758,0.0347429645742732,0.02357723428147825,0.04029275351009023
0.92,0.0022869146950682214,0.03159803588637085,0.024481309067991248,0.04403319274414946
0.93,-0.002105758385458556,0.0275248632981404,0.03027880386745567,0.04675558764958706
0.9400000000000001,0.004828362147701966,0.027425123566250903,0.018474552684713794,0.030121309176367236
0.9500000000000001,0.011808443526005871,0.028084714450433864,0.005928637478769595,0.018704672970131002
0.96,0.019326187934945636,0.018593531408861393,0.014282048126634785,0.022941971913598334
0.97,0.024735918711486032,0.004026334929318889,0.023659066070780423,0.017222218130552403
0.98,0.025318899356499582,0.0029962442970878846,0.020451145666241028,0.005924235430221505
0.99,0.025946929816968573,0.011643168650152507,0.0256500625716122,0.01729532500792429
1.0,0.027748149644936937,0.011179254028484,0.03774017218793814,0.03813083118967057
1.01,0.030974142035389955,0.0030850921311200478,0.032054775430510385,0.03952263747958478
1.02,0.03689319426396814,-0.0046268788878343825,0.020396152586435363,0.03072599325206581
1.03,0.034437656271299716,-0.016766090739299837,0.024993297187948176,0.03060089092104994
1.04,0.01854777156920551,-0.02947684927103278,0.027132674517720935,0.03447160212449434
1.05,0.010041878294922355,-0.03090786382132817,0.010855081385205757,0.03362825725376218
1.06,0.018084040033462763,-0.026799149935485825,-0.0021990692977531053,0.02931584488315129
1.07,0.020035165807703235,-0.02668602944078783,0.0009391090597053957,0.026860117520502703
1.08,0.006037866482077602,-0.02546107927178106,0.008424536625652828,0.028384932838510606
1.09,-0.007039460541972147,-0.02310636544844725,0.015458102465635433,0.024929353001881614
1.1,-0.011349306546981639,-0.027253185846216263,0.022679553249283897,0.010660890580622591
1.11,-0.012140871593076344,-0.03183163074115801,0.02539138408353716,0.001261838698616951
1.12,-0.011737486428784819,-0.02910239069532261,0.02537823931515313,0.00747202390867704
1.1300000000000001,-0.014326234880016981,-0.02733159041751551,0.026823065560912275,0.013056128231611288
