t,z0,z1,z2,z3
0.31,-0.007677185591564003,-0.031174267074299357,-0.004846241590090538,-0.00711693463318451
0.32,-0.009391490824386459,-0.030257505887188316,-0.004666587806969419,-0.007797932865466002
0.33,-0.013003295266917016,-0.0280868144148941,-0.00566640764110284,-0.006749405906796178
0.34,-0.01636367313243713,-0.02777341119681175,-0.007842997636768842,-0.005087529639834354
0.35000000000000003,-0.017431992147289556,-0.031549188926370764,-0.0105840148961079,-0.004319693117168075
0.36,-0.01552056644864385,-0.03885843699739737,-0.013236740901510578,-0.005504210090525738
0.37,-0.011600686545313935,-0.046253556463621164,-0.015489171182503928,-0.008755019379052584
0.38,-0.007495051416549176,-0.04936905631797698,-0.01730345290531189,-0.013286143675272017
0.39,-0.0045921578365614064,-0.045728119963388415,-0.018602649422848273,-0.01785236889059706
0.4,-0.0030336906573526887,-0.03644203534485303,-0.01913500425851053,-0.021265628211980872
0.41000000000000003,-0.001923563490952247,-0.025575267980971945,-0.018728860034773625,-0.022732068461600623
0.42,-0.00032039386321126444,-0.017581510281489146,-0.017714330076432735,-0.02196171276100764
0.43,0.0017989584804231275,-0.01458733691352114,-0.017040102533106886,-0.019166270102147654
0.44,0.0033592676396889697,-0.015384445245942594,-0.01781527996891843,-0.015053883691846733
0.45,0.0029226330125287888,-0.016713299745821603,-0.020513684759546725,-0.01078466924902122
0.46,-0.00021914131449055025,-0.015763180244251867,-0.024450539960901393,-0.007737077534940901
0.47000000000000003,-0.005405663023498126,-0.012012927824354643,-0.028025762990317563,-0.007009272658670866
0.48,-0.01088328571678524,-0.0071612522840638305,-0.029665047002899,-0.008832029185284921
0.49,-0.014789263465232867,-0.0034251153337930018,-0.0288145182099069,-0.01229112674184247
0.5,-0.016162783175311637,-0.0016963809104268267,-0.02624607201374407,-0.015697165609187394
0.51,-0.015334735502745134,-0.001030759984916686,-0.023422373459979783,-0.017543981334062653
0.52,-0.013522068025346544,0.00022003726104066185,-0.02139284119135636,-0.017504848166065227
0.53,-0.011995930836697147,0.0026706213182970374,-0.020074640481383004,-0.01673479562180996
0.54,-0.011416430651165857,0.005047413069335587,-0.018485502681738236,-0.017125288575071732
0.55,-0.011716726504159997,0.004948801378917161,-0.015748011603460902,-0.01990732687830811
0.56,-0.012482855313161286,0.0006449497859738314,-0.012058023900577064,-0.02458393030663759
0.5700000000000001,-0.013446274153370217,-0.007468751552342017,-0.008804752735530072,-0.029080528309042133
0.58,-0.01469920767923289,-0.01685278376111167,-0.007677185591564023,-0.031174267074299385
0.59,-0.016514650253119094,-0.024225143762597885,-0.00939149082438666,-0.03025750588718818
0.6,-0.018966949621381478,-0.027370502540015332,-0.013003295266917297,-0.02808681441489397
0.61,-0.021680063153639333,-0.026178536756691174,-0.016363673132437317,-0.027773411196811867
0.62,-0.023912660253838442,-0.022421140993603598,-0.01743199214728952,-0.031549188926371236
0.63,-0.024937333740618246,-0.018674748785063592,-0.01552056644864357,-0.038858436997398084
0.64,-0.02447380153432835,-0.017186969061296326,-0.011600686545313554,-0.04625355646362168
0.65,-0.02290974956716361,-0.019206935805253268,-0.007495051416548856,-0.04936905631797697
0.66,-0.021177784483425777,-0.024760568777982734,-0.004592157836561218,-0.0457281199633878
0.67,-0.020351540253317642,-0.03260801366361218,-0.003033690657352588,-0.036442035344852075
0.68,-0.021162743559356035,-0.04033358467873909,-0.0019235634909521367,-0.02557526798097106
0.6900000000000001,-0.02366792617880731,-0.04483061920347576,-0.0003203938632110765,-0.017581510281488615
0.7000000000000001,-0.02721642859947172,-0.04338163319018631,0.0017989584804233277,-0.01458733691352108
0.71,-0.03073403489834374,-0.03501723065153859,0.0033592676396890318,-0.015384445245942728
0.72,-0.033196798748112766,-0.02132581870731255,0.002922633012528661,-0.01671329974582164
0.73,-0.03408206493543213,-0.005962733559216821,-0.00021914131449083098,-0.015763180244251707
0.74,-0.03358620100785576,0.007102909690819377,-0.005405663023498445,-0.01201292782435438
0.75,-0.03250092214252719,0.015594704871103508,-0.010883285716785516,-0.007161252284063573
0.76,-0.031805844349477,0.01984875946379519,-0.014789263465232997,-0.0034251153337928717
0.77,-0.03218061076733225,0.022000055052365727,-0.01616278317531164,-0.0016963809104267897
0.78,-0.03368501920173468,0.02404834914714172,-0.015334735502745084,-0.0010307599849166632
0.79,-0.035769725032248824,0.026277384244573397,-0.0135220680253465,0.00022003726104070746
0.8,-0.037606737979736335,0.027237738129725804,-0.011995930836697132,0.0026706213182970816
0.81,-0.03856644178523407,0.025268100131989664,-0.011416430651165857,0.0050474130693355995
0.8200000000000001,-0.038603465310695695,0.020295008727206496,-0.011716726504159997,0.004948801378917161
0.8300000000000001,-0.03836804437853041,0.014404228389561416,-0.01248285531316128,0.0006449497859738832
0.84,-0.038989243880035884,0.010638227324099,-0.013446274153370201,-0.0074687515523418685
0.85,-0.04161320185488082,0.010894146710022453,-0.014699207679232877,-0.016852783761111597
0.86,-0.04687191968226392,0.014526632546789486,-0.01651465025311906,-0.024225143762597795
0.87,-0.05449360424357796,0.01872731124368754,-0.018966949621381412,-0.027370502540015315
0.88,-0.0632428916409568,0.02039117565910279,-0.02168006315363925,-0.026178536756691267
0.89,-0.07128521038064863,0.018070881412053957,-0.023912660253838373,-0.022421140993603768
0.9,-0.07689969042772161,0.012634536290804271,-0.024937333740618236,-0.01867474878506373
0.91,-0.07926451562322481,0.006307978469361676,-0.024473801534328415,-0.017186969061296315
0.92,-0.07891371079112011,0.00100180915565517,-0.022909749567163733,-0.01920693580525302
0.93,-0.07753891985276219,-0.002759799629240915,-0.02117778448342588,-0.024760568777982227
0.9400000000000001,-0.07712251072428684,-0.005641214825898801,-0.02035154025331765,-0.03260801366361152
0.9500000000000001,-0.07880102359787917,-0.00845035635259075,-0.021162743559355886,-0.04033358467873851
0.96,-0.0821133370646745,-0.011271068922166944,-0.023667926178807006,-0.04483061920347558
0.97,-0.08516544926256397,-0.013481193136512151,-0.02721642859947133,-0.04338163319018682
0.98,-0.08573463264178321,-0.014494284993609356,-0.03073403489834344,-0.035017230651539694
0.99,-0.08272103993599787,-0.014445022071477166,-0.0331967987481126,-0.02132581870731401
1.0,-0.0770480354997843,-0.014182545015455498,-0.03408206493543213,-0.005962733559218239
1.01,-0.07136813671997864,-0.0146305810461128,-0.03358620100785586,0.007102909690818328
1.02,-0.06865103940001271,-0.016141211338648206,-0.03250092214252729,0.015594704871102922
1.03,-0.07047129557269599,-0.01839579476095809,-0.031805844349477023,0.019848759463794923
1.04,-0.07605966340392398,-0.0208145167469866,-0.03218061076733216,0.022000055052365547
1.05,-0.08273676981851702,-0.022940312991849184,-0.033685019201734494,0.024048349147141504
1.06,-0.08747361347823719,-0.024358308297836445,-0.03576972503224863,0.02627738424457321
1.07,-0.08858529270235689,-0.024301425581027103,-0.037606737979736196,0.02723773812972583
1.08,-0.0865489852365951,-0.021559131517529046,-0.03856644178523403,0.025268100131990014
1.09,-0.10052304465832265,-0.01511540843192182,-0.038603465310695716,0.02029500872720707
1.1,-0.10320578423527224,-0.005193583407380471,-0.03836804437853041,0.014404228389561926
1.11,-0.1032123284070388,0.006230725757945715,-0.038989243880035745,0.01063822732409918
1.12,-0.1048392064111777,0.01618928361279253,-0.04161320185488044,0.010894146710022232
1.1300000000000001,-0.10700598237091388,0.02250276383624871,-0.04687191968226329,0.014526632546789058
1.1400000000000001,-0.1089562173049358,0.02534037198356405,-0.05449360424357715,0.018727311243687216
1.1500000000000001,-0.10777848377564,0.027234386594321255,-0.06324289164095596,0.02039117565910282
1.16,-0.09170630234657066,0.03129609771850797,-0.07128521038064782,0.018070881412054426
1.17,-0.0947151452442563,0.03882614236936293,-0.07689969042772117,0.012634536290804976
1.18,-0.09818515507082957,0.04813677047648997,-0.07926451562322473,0.006307978469362351
1.19,-0.10013662573740507,0.055605261911629955,-0.07891371079112026,0.0010018091556556728
1.2,-0.09925024195553539,0.05828441806173517,-0.07753891985276232,-0.002759799629240561
1.21,-0.09558516077553554,0.05613264604766625,-0.07712251072428677,-0.005641214825898493
1.22,-0.09080830642900897,0.05215379165431533,-0.07880102359787886,-0.008450356352590426
1.23,-0.08728363742924679,0.050315750738926614,-0.0821133370646741,-0.01127106892216665
1.24,-0.0866034973383489,0.052824527817633776,-0.08516544926256374,-0.013481193136511966
1.25,-0.0885991155789334,0.058805449479852584,-0.08573463264178335,-0.014494284993609313
1.26,-0.09155299794831637,0.06529176747652829,-0.0827210399359984,-0.014445022071477203
1.27,-0.0934740286447992,0.06959590917315936,-0.07704803549978499,-0.014182545015455501
1.28,-0.09351984693160766,0.07111145817999526,-0.07136813671997917,-0.01463058104611269
1.29,-0.09253812890778718,0.07117106377799419,-0.06865103940001278,-0.016141211338647984
1.3,-0.09234804274530119,0.07126299350406382,-0.07047129557269555,-0.01839579476095782
1.31,-0.09430897123350165,0.07126184988012671,-0.07605966340392323,-0.02081451674698634
1.32,-0.09823765514244509,0.06925379934546483,-0.08273676981851634,-0.022940312991848975
1.33,-0.10246360854994904,0.06314011052867742,-0.08747361347823686,-0.02435830829783635
1.34,-0.10495922514140629,0.052677172756336,-0.08858529270235697,-0.024301425581027238
1.35,-0.10469270918817497,0.040248015260807624,-0.08654898523659507,-0.021559131517529553
1.36,-0.10221771626059678,0.029721889837121315,-0.10052304465832085,-0.015115408431922757
1.37,-0.09911223115994025,0.024304803074193217,-0.10320578423527235,-0.005193583407381718
1.3800000000000001,-0.0967484883253717,0.02501414847200731,-0.1032123284070387,0.006230725757944462
1.3900000000000001,-0.09535257954954326,0.0307492984820473,-0.10483920641117746,0.016189283612791597
1.4000000000000001,-0.09404233947896966,0.039532546125830605,-0.10700598237091363,0.02250276383624823
1.41,-0.0917501873947606,0.049622027616871824,-0.10895621730493558,0.025340371983563818
1.42,-0.08825363630583313,0.059580923820609914,-0.10777848377564186,0.02723438659432093
1.43,-0.08447596746902714,0.0676102679391523,-0.0917063023465709,0.031296097718507325
1.44,-0.0818207708939946,0.07131584826744335,-0.09471514524425587,0.038826142369361924
1.45,-0.08107779204759877,0.0687127814915701,-0.09818515507082923,0.048136770476488955
1.46,-0.08177790066348996,0.05995844902439398,-0.100136625737405,0.05560526191162935
1.47,-0.08251910628936396,0.048254555166518776,-0.09925024195553567,0.05828441806173517
1.48,-0.08201303325800922,0.03866957689427589,-0.09558516077553607,0.056132646047666664
1.49,-0.08003097373507435,0.03522331666339598,-0.09080830642900949,0.05215379165431572
